artist_name,track_name,release_date,genre,lyrics
The Paper Kites,Featherstone,2011,folk,"Wake up to the sound of your fleeting heart Wake up to the sound of your fleeting heart When you go, what you leave is a work of art On my chest, on my heart She went out to the haze in the morning grace She went out and got lost in a tall hedge maze Where'd you go? Where'd you go? Why'd you leave this place? On my heart, on my face And my love is yours but your love's not mine So I'll go but we know I'll see you down the line And we'll hate what we've lost but we'll love what we find And I'm feeling fine, we've made it to the coastline Ooh, ooh, ooh ooh ooh Ooh, ooh, ooh ooh ooh Past all the signs of the slow decline Live like your love wasn't meant for mine Now you've gone, now you've gone to a different life To a lonely side Wake up to the sound of your fleeting heart Wake up to the sound of your fleeting heart When you go, what you leave is a work of art On my chest, on my heart And my love is yours but your love's not mine So I'll go, but we know I'll see you down the line And we'll hate what we've lost but we'll love what we find And oh, I'm feeling fine, we've made it to the coastline"
Lord Huron,Ends of the Earth,2012,folk,"Oh, there's a river that winds on forever I'm gonna see where it leads Oh, there's a mountain that no man has mounted I'm gonna stand on the peak Out there's a land that time don't command Wanna be the first to arrive No time for ponderin' why I'm-a wanderin' Not while we're both still alive To the ends of the earth, would you follow me? There's a world that was meant for our eyes to see To the ends of the earth, would you follow me? Well if you won't, I must say my goodbyes to thee Oh, there's an island where all things are silent I'm gonna whistle a tune Oh, there's a desert thats size can't be measured I'm gonna count all the dunes Out there's a world that calls for me, girl Headin' out into the unknown Wayfarin' strangers and all kinds of danger Please don't say I'm goin' alone To the ends of the earth, would you follow me? There's a world that was meant for our eyes to see To the ends of the earth, would you follow me? Well If you won't, I must say my goodbyes to thee I was a-ready to die for you, baby Doesn't mean I'm ready to stay What good is livin' a life you've been given If all you do is stand in one place? I'm on a river that winds on forever Follow 'til I get where I'm goin' Maybe I'm headin' to die but I'm still gonna try I guess I'm goin' alone"
The Head and the Heart,Lost in My Mind,2011,folk,"Put your dreams away for now I won't see you for some time I am lost in my mind I get lost in my mind Momma once told me You're already home where you feel loved, I am lost in my mind I get lost in my mind Oh my brother Your wisdom is older than me Oh my brother Don’t you worry ‘bout me Don’t worry about me How’s that bricklaying coming? How’s your engine running? Is that bridge getting built? Are your hands getting filled? Won’t you tell me, my brother? 'Cause there are stars up above We can start moving forward How’s that bricklaying coming? How’s your engine running? Is that bridge getting built? Are your hands getting filled? Won’t you tell me, my brother? 'Cause there are stars up above We can start moving forward Lost in my mind Lost in my mind Oh I get lost in my mind Lost, I get lost, I get lost in my mind Lost in my mind Yes I get lost in my mind Lost, I get lost, I get lost"
Angus & Julia Stone,Just a Boy,2007,folk,"I bit my tongue in the ark of conversation I don't know why, I don't know why I've met you once and I'd fallen for your notions I don't know why, I don't know why Do you believe that there's treasures in the ocean? Did I say I'm just a boy? One kiss from you and I'm drunk up on your potion That big old smile is all you wore Girl, you make me want to feel Things I've never felt before Girl, you make me want to feel Did I say I'm just a boy? Did I say I'm just a boy? You can hold me to that No lonely hands grab my suitcase full of nothing I don't know why, I don't know why You took me in gave me something to believe in That big old smile is all you wore Girl, you make me want to feel Things I've never felt before Girl, you make me want to feel Did I say I'm just a boy? Did I say I'm just a boy? You can hold me to that Girl, you make me want to feel Things I've never felt before Girl, you make me want to feel Did I say I'm just a boy? Did I say I'm just a boy?"
Ray LaMontagne,Jolene,2004,folk,"Cocaine flame in my bloodstream Sold my coat when I hit Spokane Bought myself a hard pack of cigarettes In the early morning rain Lately, my hands they don't feel like mine My eyes been stung with dust, I'm blind Held you in my arms one time Lost you just the same Jolene I ain't about to go straight It's too late I found myself face down in the ditch Booze in my hair, blood on my lips A picture of you, holding a picture of me In the pocket of my blue jeans Still don't know what love means Still don't know what love means Jolene Ah, la la la, la la la la Jolene Been so long since I seen your face Or felt a part of this human race I've been living out of this here suitcase For way too long Man needs something he can hold onto Nine-pound hammer or a woman like you Either one of them things will do Jolene I ain't about to go straight It's too late I found myself face down in the ditch Booze in my hair, blood on my lips A picture of you, holding a picture of me In the pocket of my blue jeans Still don't know what love means"
Norah Jones,Sunrise,2004,folk,"Sunrise, sunrise looks like mornin' in your eyes But the clock's held 9:15 for hours Sunrise, sunrise couldn't tempt us if it tried 'Cause the afternoon's already come and gone Surprise, surprise, couldn't find it in your eyes But I'm sure it's written all over my face Surprise, surprise, never something I could hide When I see we made it through another day Now, the night will throw its cover down Mm, on me again Ooh, and if I'm right, it's the only way To bring me back"
Amos Lee,Sweet Pea,2006,folk,"Sweet pea Apple of my eye Don't know when and I don't know why You're the only reason I keep on coming home Sweet pea What's all this about? Don't get your way, all you do is fuss and pout You're the only reason I keep on coming home I'm like the Rock of Gibraltar I always seem to falter And the words just get in the way Oh, I know I'm gonna crumble I'm trying to stay humble But I never think before I say Sweet pea Keeper of my soul I know sometimes I'm out of control"
Josh Ritter,Bright Smile,2003,folk,"Now my work is done I feel I'm owed some joy Oh Imogene and Abelard I'm your homeward boy But there's another one Who brings me to your door And the boat she weaved from the tidal reeds Was always tied to shore With bright smiles and dark eyes Bright smile dark eyes Everywhere I went oh I was always searching for ya Bright smile dark eyes I'm looking for some peace But it's so hard to find With Calamity Janes and the Steamboat Casanovas And Darling Clementines If she's your only one Then she is also mine Just pin your heartbeat up against my heartbeat And you'll see how well we rhyme With bright smiles and dark eyes Bright smile dark eyes Everywhere I went oh I was always searching for ya Bright smile dark eyes Man is only half himself The other half is a bright thing He tumbles on by luck or grace For man is ever a blind thing With bright smiles and dark eyes Bright smile dark eyes Everywhere I went oh I was always searching for ya Bright smile dark eyes"
The Avett Brothers,November Blue,2002,folk,"If I weren't leavin', would I catch you dreamin' And if I weren't gonna be gone now, could I take you home And if I told you I loved you, would it change what you see And if I was staying, would you stay with me And if I had money, would it all look good And if I had a job now, like a good man should And if I came to you tomorrow, and said let's run away Would you roll like the wind does, baby would you stay My heart is dancin', to a November tune And I hope that you hear it, singing songs about you And I sing songs of sorrow, because you're not around See, babe I'm gone tomorrow, Baby follow me down I don't know why I have to, but this man must move on I love my time here, didn't know 'til I was gone November shadows, shade November change November spells sweet memory, the season blue remains November spells sweet memory, the season blue remains Your yellow hair is like the sunlight, however sweet it shines Bit by the cold of December, I'm warm beside your smile Oh lady, tell me I'm not leaving, you're everything I dreamed I'm killing myself thinking, I've fallen like the leaves"
The Civil Wars,Barton Hollow,2011,folk,"I'm a dead man walking here But that's the least of all my fears Ooh, underneath the water It's not Alabama clay That gives my trembling hands away Ooh, please forgive me, Father Ain't going back to Barton Hollow Devil gonna follow me e'er I go Won't do me no good washing in the river Can't no preacher man save my soul Did that full moon force my hand? Or that unmarked hundred grand? Ooh, underneath the water Ooh, please forgive me, Father Miles and miles in my bare feet Still can't lay me down to sleep If I die before I wake I know the Lord, my soul won't Take I'm a dead man walking I'm a dead man walking Just keep walking and running and running for miles Keep walking and running and running for miles Keep walking and running and running for miles Ain't going back to Barton Hollow Devil gonna follow me e'er I go Won't do me no good washing in the river Can't no preacher man save my soul"
The Weepies,Gotta Have You,2006,folk,"Gray, quiet and tired and mean Picking at a worried seam I try to make you mad at me Over the phone Red eyes and fires and signs I'm taken by a nursery rhyme I want to make a ray of sunshine And never leave home No amount of coffee, no amount of crying No amount of whiskey, no amount of wine No, no, no, no, no Nothing else will do I've gotta have you, I've gotta have you The road gets cold There's no spring in the meadow this year I'm the new chicken Clucking open hearts and ears Oh, such a prima donna Sorry for myself But green, it is also summer And I won't be warm 'Til I'm lying in your arms No amount of coffee, no amount of crying No amount of whiskey, no amount of wine No, no, no, no, no Nothing else will do I've gotta have you, I've gotta have you I see it all through a telescope Guitar, suitcase, and a warm coat Lying in the back of the blue boat Humming a tune No amount of coffee, no amount of crying No amount of whiskey, no wine No, no, no, no, no Nothing else will do I've gotta have you, I've gotta have No amount of coffee, no amount of crying No amount of whiskey, no amount of wine No, no, no, no, no Nothing else will do I've gotta have you, I've gotta have you I've gotta have you, I've gotta have you"
Iron & Wine,Such Great Heights,2003,folk,"I am thinking it's a sign That the freckles in our eyes are mirror images And when we kiss they're perfectly aligned And I have to speculate That God himself did make us into corresponding shapes Like puzzle pieces from the clay And true, it may seem like a stretch But it's thoughts like this that catch my troubled head when you're away When I am missing you to death When you are out there on the road For several weeks of shows and when you scan the radio I hope this song will guide you home They will see us waving from such great heights Come down now, they'll say But everything looks perfect from far away Come down now, but we'll stay I tried my best to leave This all on your machine but the persistent beat it Sounded thin upon listenin' And that frankly will not fly You will hear the shrillest highs and lowest lows with the windows down And this is guiding you home They will see us waving from such great heights Come down now, they'll say But everything looks perfect from far away Come down now, but we'll stay"
Damien Rice,Volcano,2002,folk,"Don't hold yourself like that 'Cause you'll hurt your knees I kissed your mouth and back But that's all I need Don't build your world around Volcanoes melt you down And what I am to you is not real What I am to you, you do not need What I am to you is not what you mean to me You give me miles and miles of mountains And I asked for the sea Don't throw yourself like that In front of me I kissed your mouth, your back Is that all you need? Don't drag my love around Volcanoes melt me down And what I am to you is not real What I am to you, you do not need What I am to you is not what you mean to me You give me miles and miles of mountains, and I'll ask For what I give to you is just what I'm going through This is nothing new No, no, just another phase of finding what I really need Is what makes me bleed, but like a new disease My Lord, she's still too young to treat What I am to you is not real (volcanoes melt you down) What I am to you, you do not need (volcanoes melt you down) What I am to you is not real (volcanoes melt you down) What I am to you, you do not need (volcanoes melt you down)"
Sufjan Stevens,Chicago,2005,folk,"I fell in love again All things go, all things go Drove to Chicago All things know, all things know We sold our clothes to the state I don't mind, I don't mind I made a lot of mistakes In my mind, in my mind You came to take us All things go, all things go To recreate us All things grow, all things grow We had our mindset All things know, all things know You had to find it All things go, all things go I drove to New York In a van, with my friend We slept in parking lots I don't mind, I don't mind I was in love with the place In my mind, in my mind I made a lot of mistakes In my mind, in my mind You came to take us All things go, all things go To recreate us All things grow, all things grow We had our mindset All things know, all things know You had to find it All things go, all things go If I was crying In the van, with my friend It was for freedom From myself and from the land I made a lot of mistakes You came to take us All things go, all things go To recreate us All things grow, all things grow We had our mindset All things know, all things know You had to find it All things go, all things go You came to take us All things go, all things go To recreate us All things grow, all things grow We had our mindset (I made a lot of mistakes) All things know, all things know (I made a lot of mistakes) You had to find it (I made a lot of mistakes) All things go, all things go (I made a lot of mistakes)"
Fleet Foxes,Mykonos,2008,folk,"The door slammed loud and rose up a cloud of dust on us Footsteps follow, down through the hollow sound, torn up And you will go to Mykonos With a vision of a gentle coast And a sun to maybe dissipate Shadows of the mess you made How did any holes in the snow-tipped pines, I find Hatching from the seed of your thin mind, all night And you will go to Mykonos With a vision of a gentle coast And a sun to maybe dissipate Shadows of the mess you made Brother, you don't need to turn me away I was waiting down at the ancient gate You go wherever you go today You go today I remember how they took you down As the winter turned the meadow brown You go wherever you go today You go today When out walking, brother, don't you forget It ain't often that you'll ever find a friend"
José González,Stay Alive,2013,folk,"There's a rhythm and rush these days Where the lights don't move and the colors don't fade Leaves you empty with nothing but dreams In a world gone shallow In a world gone lean Sometimes there's things a man cannot know The gears won't turn and the leaves won't grow There's no place to run and no gasoline Engine won't turn and the train won't leave Engines won't turn and the train won't leave I will stay with you tonight Hold you close 'til the morning light In the morning watch a new day rise We'll do whatever just to stay alive We'll do whatever just to stay alive Well the way I fell is the way I write It isn't like the thoughts of the man who lies There is a truth and it's on our side Dawn is coming Open your eyes Look into the sun as the new days rise And I will wait for you tonight You're here forever and you're by my side I've been waiting all my life To feel your heart as it's keeping time We'll do whatever just to stay alive Look into the sun as the new days rise There's a rhythm and rush these days Where the lights don't move and the colors don't fade Leaves you empty with nothing but dreams In a world gone shallow In a world gone lean But there is a truth and it's on our side Dawn is coming open your eyes Look into the sun as a new days rise"
The Tallest Man on Earth,The Gardener,2008,folk,"I sense a runner in the garden Although my judgment's known to fail Once built a steamboat in a meadow 'Cause I'd forgotten how to sail I know the runner's going to tell you There ain't no cowboy in my hair So now he's buried by the daisies So I could stay the tallest man in your eyes, babe I sense a spy up in the chimney From all the evidence I've burned I guess he'll read it in the smoke now And soon to ashes I'll return I know the spy is going to tell you It's not my flag up in the pole So now he's buried by the lilies So I could stay forever more in your eyes, babe I sense a leak inside my phone now From all the lies that I have told I know he has your private number And soon he'll make that vicious call I know the leak is going to tell you There ain't no puppy in your leash So now he'll fertilize the roses So I could stay the king you see in your eyes, babe In your eyes, babe So now we're dancing through the garden And what a garden I have made And now that death will grow my jasmine I find it soothing I'm afraid Now there is no need for suspicion There ain't no fraud kissing your hand I won't be lying when I tell you That I'm a gardener, I'm a man in your eyes, babe"
Laura Marling,Ghosts,2008,folk,"He walked down a busy street staring solely at his feet Clutching pictures of past lovers at his side Stood at the table where she sat And removed his hat, in respect of her presence Presents her with the pictures and says: These are just ghosts that broke my heart before I met you These are just ghosts that broke my heart before I met you Opened up his little heart, unlocked the lock that kept it dark And read a written warning saying, I'm still mourning Over ghosts, over ghosts, over ghosts Over ghosts that broke my heart before I met you So he went crazy at 19, said he lost all his self-esteem And couldn't understand why he was cry, cry, crying, crying He would stare at empty chairs Think of the ghosts that once sat there The ghost that broke his heart, all the ghosts that broke my heart The ghost that broke his heart, all the ghosts that broke my heart The ghost, the ghost, the ghost, the ghost, the ghost, the ghost The ghost that broke my heart before I met you Lover please do not Fall to your knees, it's not Like I believe in Everlasting love He says: I'm so lost, not at all well Ooh, ooh He was done and there was nothing left to be Well, it turned out I'd been following him and he'd been following me It was done after it was over We were just two lovers crying on each other's shoulder And I said, Lover, please do not Fall to your knees, it's not Like I believe in Everlasting love Lover please do not Fall to your knees, it's not Like I believe in Everlasting love"
Of Monsters and Men,Dirty Paws,2011,folk,"Jumping up and down the floor My head is an animal And once there was an animal It had a son that mowed the lawn The son was an OK guy They had a pet dragonfly The dragonfly it ran away But it came back with a story to say Her dirty paws and furry coat She ran down the forest slope The forest of talking trees They used to sing about the birds and the bees The bees had declared a war The sky wasn't big enough for them all The birds, they got help from below From dirty paws and the creatures of snow La la la La la la la La la la La la la la So for a while, things were cold They were scared down in their holes The forest that once was green Was colored black by those killing machines But she and her furry friends Took down the queen bee and her men And that's how the story goes The story of the beast with those four dirty paws"
Phoebe Bridgers,Garden Song,2020,folk,"Someday, I'm gonna live In your house up on the hill And when your skinhead neighbor goes missing I'll plant a garden in the yard, then They're gluing roses on a flatbed You should see it, I mean thousands I grew up here 'til it all went up in flames Except the notches in the door frame I don't know when you got taller See our reflection in the water Off a bridge at the Huntington I hopped the fence when I was seventeen Then I knew what I wanted And when I grow up, I'm gonna look up From my phone and see my life And it's gonna be just like my recurring dream I'm at the movies, I don't remember what I'm seeing The screen turns into a tidal wave Then it's a dorm room, like a hedge maze And when I find you You touch my leg and I insist But I wake up before we do it I don't know how, but I'm taller It must be something in the water Everything's growing in our garden You don't have to know that it's haunted The doctor put her hands over my liver She told me my resentment's getting smaller No, I'm not afraid of hard work I get everything I want I have everything I wanted"
